,'A2-A0CM-01A','A2-A0D0-01A','A2-A0D1-01A','A2-A0D2-01A','A2-A0EQ-01A','A2-A0EV-01A','A2-A0EX-01A','A2-A0EY-01A','A2-A0SW-01A','A2-A0SX-01A','A2-A0T1-01A','A2-A0T2-01A','A2-A0T3-01A','A2-A0T6-01A','A2-A0T7-01A','A2-A0YC-01A','A2-A0YD-01A','A2-A0YF-01A','A2-A0YG-01A','A2-A0YI-01A','A2-A0YL-01A','A7-A0CD-01A','A7-A0CE-01A','A7-A0CJ-01A','A7-A13F-01A','A8-A06N-01A','A8-A06Z-01A','A8-A076-01A','A8-A079-01A','A8-A09I-01A','AN-A04A-01A','AN-A0FK-01A','AN-A0FL-01A','AO-A03O-01A','AO-A0J6-01A','AO-A0J9-01A','AO-A0JE-01A','AO-A0JJ-01A','AO-A0JM-01A','AO-A126-01A','AO-A12B-01A','AO-A12D-01A','AO-A12E-01A','AR-A0TR-01A','AR-A0TT-01A','AR-A0TV-01A','AR-A0TX-01A','AR-A0TY-01A','AR-A0U4-01A','AR-A1AQ-01A','AR-A1AV-01A','AR-A1AW-01A','BH-A0AV-01A','BH-A0BV-01A','BH-A0BZ-01A','BH-A0C0-01A','BH-A0DD-01A','BH-A0DG-01A','BH-A0E0-01A','BH-A0E9-01A','BH-A18N-01A','BH-A18Q-01A','BH-A18R-01A','BH-A18U-01A','BH-A18V-01A','C8-A12L-01A','C8-A12P-01A','C8-A12Q-01A','C8-A12T-01A','C8-A12U-01A','C8-A12V-01A','C8-A12W-01A','C8-A12Z-01A','C8-A130-01A','C8-A131-01A','C8-A134-01A','C8-A135-01A','C8-A138-01A','D8-A13Y-01A','D8-A142-01A','E2-A10A-01A','E2-A150-01A','E2-A154-01A','E2-A159-01A','E2-A15A-01A'
Stroma_Matrix.csv_Max.Skewness.Layer.1,0.285915151,0.223945974,0.2787732,0.308398501,0.321033812,0.340223289,0.319948989,0.344627983,0.285113077,0.260511864,0.197136218,0.210159442,0.211682212,0.312302359,0.213146531,0.239029009,0.339923653,0.269011287,0.264535279,0.309383461,0.266537796,0.326105301,0.305631099,0.211667233,0.233840375,0.184584057,0.37603058,0.257978268,0.309418715,0.275958609,0.276370244,0.250480037,0.193834643,0.24892473,0.293700892,0.235001397,0.304925981,0.317572505,0.225805828,0.124779293,0.340129341,0.189831555,0.282335005,0.37668951,0.281122363,0.219375995,0.168290422,0.25890272,0.389349727,0.306778042,0.282743633,0.25371722,0.231087601,0.289449047,0.25751101,0.275832052,0.234330271,0.267554685,0.252183389,0.243647631,0.287520915,0.264975073,0.303051176,0.232247474,0.297356713,0.229168145,0.184828576,0.254907892,0.286789179,0.240413641,0.342870674,0.331952343,0.156268778,0.190002769,0.219384628,0.304606242,0.262652611,0.178468325,0.324560282,0.299348707,0.270101189,0.258262143,0.245593363,0.306653264,0.201951776
Stroma_Matrix.csv_Min.Min..pixel.value.Layer.2,0.183941478,0.221624491,0.207812183,0.166595198,0.203833082,0.201713798,0.162646422,0.214742473,0.208700714,0.185341793,0.202558415,0.221104216,0.181809716,0.17582686,0.208667982,0.199429989,0.181829135,0.197787494,0.176383284,0.184722367,0.181637655,0.196317349,0.164857434,0.182539868,0.188373727,0.184417937,0.18512677,0.217502171,0.183799691,0.184099584,0.171966757,0.188628069,0.203156342,0.184042658,0.185114988,0.180985147,0.168354854,0.221949013,0.200160401,0.170226438,0.151247423,0.188907554,0.185635907,0.206667109,0.180140231,0.259486184,0.183470209,0.201187509,0.209796909,0.190010109,0.19054929,0.165687021,0.191490668,0.190039479,0.182339852,0.19372269,0.200920153,0.166851515,0.217134127,0.162690553,0.205424031,0.170032353,0.193661388,0.2021509,0.171664598,0.177028822,0.183162806,0.182707974,0.169853734,0.181956341,0.186651638,0.169828301,0.179094342,0.173250881,0.18252721,0.202059191,0.159346198,0.207980284,0.223860317,0.185651839,0.172939711,0.188737334,0.168092046,0.174809377,0.178179553
 Autocorrelation: [2] (out.autoc) ,0.295237048,0.373676308,0.307924473,0.323749734,0.271606068,0.32343524,0.305514814,0.310780359,0.310271988,0.311175151,0.332194971,0.314886827,0.321386738,0.339472528,0.307630903,0.34227936,0.347835619,0.32148587,0.317962389,0.302382808,0.35471375,0.275115473,0.300139546,0.337723849,0.317510725,0.290725803,0.346661763,0.290465758,0.309758561,0.353456442,0.334533648,0.329192827,0.342809327,0.317237348,0.284136885,0.313244851,0.320593681,0.315842468,0.375006176,0.36238529,0.337613334,0.308534407,0.28105277,0.349804942,0.324902916,0.37079707,0.288692242,0.281591158,0.335045581,0.354838409,0.285203138,0.25921731,0.328211917,0.310984329,0.296532812,0.285435072,0.302731192,0.258204165,0.343379792,0.334608861,0.287001639,0.325546329,0.297988521,0.31475391,0.29402696,0.274647342,0.33087756,0.323332172,0.309368304,0.291948549,0.328164668,0.344932075,0.317518872,0.327260268,0.342573123,0.335331047,0.315198997,0.333156652,0.253146641,0.330048313,0.28016579,0.362841242,0.315018457,0.321480425,0.311143716
" Contrast: matlab/[1,2] (out.contr) ",0.309370805,0.332093444,0.261678938,0.306439309,0.250766287,0.300146687,0.339363057,0.334484407,0.302406147,0.28203812,0.278779877,0.303299341,0.327116815,0.306774353,0.289413444,0.339160968,0.251331189,0.354223918,0.29848005,0.319754671,0.321410978,0.268232085,0.305263662,0.259264027,0.310832248,0.295924525,0.235324491,0.299553381,0.263774064,0.279681376,0.294381037,0.297901048,0.335850558,0.3046916,0.260862377,0.275138297,0.370186604,0.303998452,0.311798242,0.337646192,0.342552383,0.29069786,0.258493715,0.27993403,0.308168061,0.312858844,0.328925735,0.295305304,0.28890416,0.385814008,0.27156593,0.352512393,0.279784255,0.305476672,0.32911526,0.27499615,0.259448915,0.327526329,0.343967938,0.339269858,0.227093403,0.263697073,0.388356927,0.284924229,0.318219488,0.352065498,0.295125542,0.275820275,0.314106373,0.306904835,0.329838469,0.259909962,0.289447684,0.284503954,0.283097503,0.293867482,0.260813586,0.279769564,0.286941284,0.301641302,0.250930294,0.302945132,0.305437285,0.344564224,0.308456018
 Correlation: matlab (out.corrm) ,0.203881444,0.199226168,0.208930789,0.241219583,0.230456896,0.176987608,0.199545566,0.191696185,0.236408805,0.247440931,0.248199797,0.174585798,0.256893312,0.211276966,0.226041529,0.214719687,0.218019215,0.195474918,0.221372046,0.208888205,0.144020197,0.179922085,0.192451746,0.221706226,0.251253925,0.243108059,0.186994539,0.176280387,0.151614586,0.163506967,0.1722028,0.165475593,0.176125461,0.179082386,0.272323779,0.272981717,0.133739683,0.233965163,0.245848884,0.237628167,0.218740075,0.205668644,0.276751497,0.173143286,0.167671827,0.223382394,0.168451498,0.152820474,0.127385785,0.146198778,0.192159133,0.293037314,0.190965432,0.174760436,0.172725298,0.202860432,0.239385244,0.202036916,0.173958442,0.205749025,0.156529523,0.179974511,0.192707062,0.224140324,0.178432133,0.218546162,0.238260775,0.187474518,0.200105722,0.289686316,0.169455163,0.178804371,0.242733957,0.297631795,0.248440014,0.205257729,0.200122028,0.212833648,0.188798132,0.202616569,0.246967729,0.277956516,0.187672136,0.215599317,0.269273108
 Cluster Prominence: [2] (out.cprom) ,0.141709665,0.138143828,0.144161102,0.180372654,0.169749607,0.110522172,0.154651181,0.124532416,0.178333208,0.182587086,0.177424806,0.155250322,0.204269815,0.166247407,0.178773746,0.175034373,0.172955774,0.164363316,0.163609357,0.153033532,0.122285912,0.145414364,0.122047092,0.162034865,0.189519722,0.179472898,0.14458796,0.13658697,0.107815121,0.120265964,0.122310476,0.117924786,0.123929671,0.131232857,0.181220933,0.21544007,0.122999892,0.181883939,0.186056678,0.175767627,0.159200703,0.143182689,0.197025904,0.125697435,0.128774296,0.163953043,0.12527826,0.115596846,0.092577388,0.136760245,0.14187659,0.234420209,0.131719142,0.128741212,0.124064729,0.15002592,0.1663587,0.154947409,0.124011232,0.171349973,0.139365484,0.127761921,0.135557544,0.165269906,0.136282002,0.165384363,0.181215206,0.136766824,0.132400655,0.215988098,0.123087098,0.13730408,0.187052632,0.221862756,0.190388247,0.141795633,0.144264768,0.154803782,0.142981114,0.141614337,0.210152703,0.213863454,0.13744918,0.151172548,0.189545583
 Cluster Shade: [2] (out.cshad) ,0.14234267,0.105121908,0.102575122,0.104118749,0.109965515,0.082005653,0.179048475,0.129417035,0.168076638,0.11795827,0.178559116,0.125607407,0.102649495,0.106229871,0.134422579,0.17540931,0.1119444,0.148344132,0.106180423,0.133824495,0.117827782,0.115382457,0.136997877,0.12279951,0.145429762,0.12692462,0.114974396,0.117799012,0.103934133,0.078029695,0.107925717,0.095984915,0.098397738,0.076592041,0.156516248,0.191462564,0.115161487,0.136636255,0.210268653,0.154243128,0.078580904,0.139465772,0.115608381,0.081719748,0.086369797,0.086816532,0.094908503,0.118397215,0.084986828,0.117157716,0.098059408,0.190146049,0.120744743,0.104926536,0.113826656,0.163759243,0.105295417,0.119814085,0.106411992,0.142866821,0.100205739,0.145575254,0.114030377,0.112213588,0.133486064,0.083096137,0.117398,0.116598363,0.093643442,0.198169623,0.096694545,0.125352636,0.19397345,0.105040521,0.202362632,0.120894758,0.141004881,0.126877338,0.129167748,0.16016816,0.183621156,0.114754176,0.161983495,0.098070404,0.137108125
 Dissimilarity: [2] (out.dissi) ,0.318525539,0.400712447,0.325685078,0.345945101,0.381674131,0.388075815,0.346557851,0.368109735,0.300363813,0.33326895,0.31735156,0.296707181,0.29992142,0.289666618,0.354398447,0.33251593,0.379541725,0.358182482,0.379401382,0.352856134,0.359669767,0.338382343,0.402851011,0.314647065,0.332551934,0.366109666,0.395385405,0.319989119,0.354983455,0.346452773,0.379988774,0.301718026,0.322481448,0.305223063,0.337864259,0.34643859,0.323120718,0.312689153,0.369250035,0.365091574,0.368507255,0.30217775,0.374326598,0.340307325,0.311829861,0.316711537,0.360548858,0.338833036,0.268605515,0.324103804,0.387210692,0.341166539,0.351303348,0.294004416,0.31750622,0.325279294,0.33651365,0.325080311,0.369322366,0.308581152,0.393116419,0.379360452,0.358192788,0.371511092,0.351875047,0.332051431,0.369030524,0.282911619,0.322374454,0.335211837,0.390890446,0.315251007,0.31211796,0.317735001,0.322786261,0.277369052,0.32370885,0.301352194,0.309909113,0.316598645,0.321855275,0.358155717,0.305550835,0.312278207,0.333696355
" Energy: matlab / [1,2] (out.energ) ",0.242576053,0.259476169,0.220911788,0.224489483,0.266090417,0.229573469,0.315592386,0.201151759,0.262018277,0.211421373,0.266280857,0.246931868,0.31482921,0.188406043,0.343029668,0.304280951,0.218966788,0.279085798,0.304367563,0.23786565,0.247136021,0.218586832,0.251276373,0.29060718,0.292282691,0.391589074,0.26404576,0.274270512,0.235834819,0.27586316,0.29933175,0.236788685,0.221829145,0.335382005,0.245226946,0.324901198,0.270169115,0.26001337,0.275224979,0.392253567,0.247372096,0.272843988,0.35754804,0.224047005,0.228429248,0.281928446,0.238398211,0.254132766,0.208491759,0.31578561,0.239317816,0.261838717,0.260777777,0.314906686,0.259033316,0.255485812,0.279061438,0.277762057,0.321344549,0.299302947,0.419752397,0.209265922,0.256761026,0.271648189,0.264803356,0.251292972,0.295541616,0.318319744,0.242190944,0.290362733,0.307597686,0.267904962,0.293076383,0.309048551,0.289781652,0.326774212,0.255726027,0.23207283,0.32382631,0.204349455,0.245993389,0.243818146,0.272329805,0.258131866,0.344611754
 Entropy: [2] (out.entro) ,0.234505486,0.273869012,0.28437173,0.42691467,0.412819847,0.371188687,0.217739062,0.258620321,0.384540014,0.289935445,0.298394007,0.317136887,0.269276241,0.284163244,0.307365169,0.355452823,0.224054188,0.276855687,0.281219182,0.295842847,0.273136464,0.376971717,0.372335731,0.276856235,0.30053528,0.272964572,0.353778052,0.401674048,0.208644285,0.276473874,0.312357706,0.358700733,0.236296659,0.355485008,0.321277681,0.290148305,0.264362322,0.285111742,0.346212246,0.273165532,0.253015695,0.175546304,0.174938654,0.362536103,0.336144853,0.383872967,0.447380926,0.399566175,0.293221803,0.320022098,0.32681286,0.287250264,0.3375099,0.288898173,0.240011643,0.263548545,0.338972313,0.480567641,0.287446885,0.284883146,0.25915385,0.36575641,0.322124766,0.246593288,0.357914467,0.256014209,0.179974682,0.243583724,0.232633615,0.215033354,0.229512202,0.263218299,0.23863726,0.264675309,0.329758629,0.304126293,0.270174038,0.221646071,0.358780674,0.333571837,0.242039425,0.302899912,0.246683696,0.236561864,0.249571063
 Homogeneity: matlab (out.homom) ,0.014702992,0.021655935,0.020811767,0.016979899,0.020125307,0.014334148,0.018494789,0.016144081,0.024878666,0.016935358,0.024949705,0.020521604,0.017276916,0.0179867,0.025635419,0.022713274,0.017865678,0.024364718,0.015383336,0.016890691,0.01305878,0.018568469,0.015821696,0.01732369,0.02048428,0.019508944,0.019650854,0.019947778,0.016502083,0.015070603,0.017878302,0.019531089,0.017838908,0.015301264,0.018721395,0.018049587,0.016632925,0.030289777,0.021170584,0.016675685,0.017441502,0.013653306,0.018283726,0.020118444,0.019912004,0.034932086,0.021224068,0.01750064,0.018030049,0.015563758,0.020916,0.01947861,0.022621078,0.012936228,0.014018103,0.019757771,0.023122307,0.01547323,0.021985627,0.01488459,0.017348621,0.01781377,0.017137453,0.019162433,0.020246854,0.014802026,0.013135439,0.019039138,0.017867227,0.017278532,0.016759938,0.014535344,0.016674404,0.015335356,0.029142307,0.018820394,0.01976083,0.023231156,0.028132448,0.014515543,0.018908342,0.014744499,0.016390421,0.016248685,0.02042855
 Maximum probability: [2] (out.maxpr) ,0.285915151,0.223945974,0.2787732,0.308398501,0.321033812,0.340223289,0.319948989,0.344627983,0.285113077,0.260511864,0.197136218,0.210159442,0.211682212,0.312302359,0.213146531,0.239029009,0.339923653,0.269011287,0.264535279,0.309383461,0.266537796,0.326105301,0.305631099,0.211667233,0.233840375,0.184584057,0.37603058,0.257978268,0.309418715,0.275958609,0.276370244,0.250480037,0.193834643,0.24892473,0.293700892,0.235001397,0.304925981,0.317572505,0.225805828,0.124779293,0.340129341,0.189831555,0.282335005,0.37668951,0.281122363,0.219375995,0.168290422,0.25890272,0.389349727,0.306778042,0.282743633,0.25371722,0.231087601,0.289449047,0.25751101,0.275832052,0.234330271,0.267554685,0.252183389,0.243647631,0.287520915,0.264975073,0.303051176,0.232247474,0.297356713,0.229168145,0.184828576,0.254907892,0.286789179,0.240413641,0.342870674,0.331952343,0.156268778,0.190002769,0.219384628,0.304606242,0.262652611,0.178468325,0.324560282,0.299348707,0.270101189,0.258262143,0.245593363,0.306653264,0.201951776
